ID Year,Year,Patient to Primary Care Physician Ratio,Patient to Primary Care Physician Ratio Data Source Years,Geography,ID Geography,Slug Geography
2023,"2023",832,"2020","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2023,"2023",1545,"2020","Bronx County, NY","05000US36005","bronx-county-ny"
2023,"2023",1396,"2020","Kings County, NY","05000US36047","kings-county-ny"
2023,"2023",694,"2020","Nassau County, NY","05000US36059","nassau-county-ny"
2023,"2023",719,"2020","New York County, NY","05000US36061","new-york-county-ny"
2023,"2023",1536,"2020","Queens County, NY","05000US36081","queens-county-ny"
2023,"2023",1105,"2020","Richmond County, NY","05000US36085","richmond-county-ny"
2022,"2022",836,"2019","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2022,"2022",1583,"2019","Bronx County, NY","05000US36005","bronx-county-ny"
2022,"2022",1423,"2019","Kings County, NY","05000US36047","kings-county-ny"
2022,"2022",696,"2019","Nassau County, NY","05000US36059","nassau-county-ny"
2022,"2022",722,"2019","New York County, NY","05000US36061","new-york-county-ny"
2022,"2022",1523,"2019","Queens County, NY","05000US36081","queens-county-ny"
2022,"2022",1037,"2019","Richmond County, NY","05000US36085","richmond-county-ny"
2021,"2021",839,"2018","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2021,"2021",1642,"2018","Bronx County, NY","05000US36005","bronx-county-ny"
2021,"2021",1479,"2018","Kings County, NY","05000US36047","kings-county-ny"
2021,"2021",700,"2018","Nassau County, NY","05000US36059","nassau-county-ny"
2021,"2021",731,"2018","New York County, NY","05000US36061","new-york-county-ny"
2021,"2021",1529,"2018","Queens County, NY","05000US36081","queens-county-ny"
2021,"2021",1024,"2018","Richmond County, NY","05000US36085","richmond-county-ny"
2020,"2020",859,"2017","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2020,"2020",1768,"2017","Bronx County, NY","05000US36005","bronx-county-ny"
2020,"2020",1554,"2017","Kings County, NY","05000US36047","kings-county-ny"
2020,"2020",716,"2017","Nassau County, NY","05000US36059","nassau-county-ny"
2020,"2020",754,"2017","New York County, NY","05000US36061","new-york-county-ny"
2020,"2020",1608,"2017","Queens County, NY","05000US36081","queens-county-ny"
2020,"2020",1029,"2017","Richmond County, NY","05000US36085","richmond-county-ny"
2019,"2019",877,"2016","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2019,"2019",1739,"2016","Bronx County, NY","05000US36005","bronx-county-ny"
2019,"2019",1555,"2016","Kings County, NY","05000US36047","kings-county-ny"
2019,"2019",702,"2016","Nassau County, NY","05000US36059","nassau-county-ny"
2019,"2019",733,"2016","New York County, NY","05000US36061","new-york-county-ny"
2019,"2019",1570,"2016","Queens County, NY","05000US36081","queens-county-ny"
2019,"2019",1019,"2016","Richmond County, NY","05000US36085","richmond-county-ny"
2018,"2018",887,"2015","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2018,"2018",1799,"2015","Bronx County, NY","05000US36005","bronx-county-ny"
2018,"2018",1573,"2015","Kings County, NY","05000US36047","kings-county-ny"
2018,"2018",700,"2015","Nassau County, NY","05000US36059","nassau-county-ny"
2018,"2018",732,"2015","New York County, NY","05000US36061","new-york-county-ny"
2018,"2018",1553,"2015","Queens County, NY","05000US36081","queens-county-ny"
2018,"2018",1032,"2015","Richmond County, NY","05000US36085","richmond-county-ny"
2017,"2017",885,"2014","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2017,"2017",1895,"2014","Bronx County, NY","05000US36005","bronx-county-ny"
2017,"2017",1602,"2014","Kings County, NY","05000US36047","kings-county-ny"
2017,"2017",685,"2014","Nassau County, NY","05000US36059","nassau-county-ny"
2017,"2017",723,"2014","New York County, NY","05000US36061","new-york-county-ny"
2017,"2017",1525,"2014","Queens County, NY","05000US36081","queens-county-ny"
2017,"2017",1073,"2014","Richmond County, NY","05000US36085","richmond-county-ny"
2016,"2016",870,"2013","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2016,"2016",1925,"2013","Bronx County, NY","05000US36005","bronx-county-ny"
2016,"2016",1645,"2013","Kings County, NY","05000US36047","kings-county-ny"
2016,"2016",682,"2013","Nassau County, NY","05000US36059","nassau-county-ny"
2016,"2016",726,"2013","New York County, NY","05000US36061","new-york-county-ny"
2016,"2016",1527,"2013","Queens County, NY","05000US36081","queens-county-ny"
2016,"2016",1043,"2013","Richmond County, NY","05000US36085","richmond-county-ny"
2015,"2015",872,"2012","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2015,"2015",2080,"2012","Bronx County, NY","05000US36005","bronx-county-ny"
2015,"2015",1637,"2012","Kings County, NY","05000US36047","kings-county-ny"
2015,"2015",679,"2012","Nassau County, NY","05000US36059","nassau-county-ny"
2015,"2015",728,"2012","New York County, NY","05000US36061","new-york-county-ny"
2015,"2015",1510,"2012","Queens County, NY","05000US36081","queens-county-ny"
2015,"2015",1077,"2012","Richmond County, NY","05000US36085","richmond-county-ny"
2014,"2014",879,"2011","Monmouth County, NJ","05000US34025","monmouth-county-nj"
2014,"2014",2020,"2011","Bronx County, NY","05000US36005","bronx-county-ny"
2014,"2014",1588,"2011","Kings County, NY","05000US36047","kings-county-ny"
2014,"2014",682,"2011","Nassau County, NY","05000US36059","nassau-county-ny"
2014,"2014",755,"2011","New York County, NY","05000US36061","new-york-county-ny"
2014,"2014",1529,"2011","Queens County, NY","05000US36081","queens-county-ny"
2014,"2014",1074,"2011","Richmond County, NY","05000US36085","richmond-county-ny"